            aluminum profit per starter:     80 for 1 starters, 1 standard, 0 nuclear
              copper profit per starter:     80 for 1 starters, 1 standard, 0 nuclear
             diamond profit per starter:     80 for 1 starters, 1 standard, 0 nuclear
                gold profit per starter:     80 for 1 starters, 1 standard, 0 nuclear
                iron profit per starter:     80 for 1 starters, 1 standard, 0 nuclear
       aluminum_wire profit per starter:    150 for 1 starters, 1 standard, 0 nuclear
         copper_wire profit per starter:    150 for 1 starters, 1 standard, 0 nuclear
        diamond_wire profit per starter:    150 for 1 starters, 1 standard, 0 nuclear
           gold_wire profit per starter:    150 for 1 starters, 1 standard, 0 nuclear
           iron_wire profit per starter:    150 for 1 starters, 1 standard, 0 nuclear
         server_rack profit per starter:    160 for 2 starters, 2 standard, 0 nuclear
      aluminum_cable profit per starter:    200 for 3 starters, 3 standard, 0 nuclear
       aluminum_gear profit per starter:    200 for 1 starters, 1 standard, 0 nuclear
     aluminum_liquid profit per starter:    200 for 1 starters, 1 standard, 0 nuclear
        copper_cable profit per starter:    200 for 3 starters, 3 standard, 0 nuclear
         copper_gear profit per starter:    200 for 1 starters, 1 standard, 0 nuclear
       copper_liquid profit per starter:    200 for 1 starters, 1 standard, 0 nuclear
       diamond_cable profit per starter:    200 for 3 starters, 3 standard, 0 nuclear
        diamond_gear profit per starter:    200 for 1 starters, 1 standard, 0 nuclear
      diamond_liquid profit per starter:    200 for 1 starters, 1 standard, 0 nuclear
          gold_cable profit per starter:    200 for 3 starters, 3 standard, 0 nuclear
           gold_gear profit per starter:    200 for 1 starters, 1 standard, 0 nuclear
         gold_liquid profit per starter:    200 for 1 starters, 1 standard, 0 nuclear
          iron_cable profit per starter:    200 for 3 starters, 3 standard, 0 nuclear
           iron_gear profit per starter:    200 for 1 starters, 1 standard, 0 nuclear
         iron_liquid profit per starter:    200 for 1 starters, 1 standard, 0 nuclear
             circuit profit per starter:    230 for 2 starters, 2 standard, 0 nuclear
      electric_board profit per starter:    230 for 2 starters, 2 standard, 0 nuclear
        heater_plate profit per starter:    230 for 2 starters, 2 standard, 0 nuclear
             battery profit per starter:    280 for 2 starters, 2 standard, 0 nuclear
              engine profit per starter:    280 for 2 starters, 2 standard, 0 nuclear
          solar_cell profit per starter:    280 for 2 starters, 2 standard, 0 nuclear
      aluminum_plate profit per starter:    350 for 1 starters, 1 standard, 0 nuclear
        copper_plate profit per starter:    350 for 1 starters, 1 standard, 0 nuclear
       diamond_plate profit per starter:    350 for 1 starters, 1 standard, 0 nuclear
          gold_plate profit per starter:    350 for 1 starters, 1 standard, 0 nuclear
          iron_plate profit per starter:    350 for 1 starters, 1 standard, 0 nuclear
                 fan profit per starter:    420 for 11 starters, 11 standard, 0 nuclear
        power_supply profit per starter:    420 for 11 starters, 11 standard, 0 nuclear
           processor profit per starter:    566 for 8 starters, 8 standard, 0 nuclear
     advanced_engine profit per starter:    590 for 30 starters, 30 standard, 0 nuclear
               laser profit per starter:    732 for 25 starters, 25 standard, 0 nuclear
         solar_panel profit per starter:    750 for 10 starters, 10 standard, 0 nuclear
             trigger profit per starter:    794 for 70 starters, 70 standard, 0 nuclear
           explosive profit per starter:    954 for 70 starters, 70 standard, 0 nuclear
            computer profit per starter:   1377 for 30 starters, 30 standard, 0 nuclear
     electric_engine profit per starter:   2147 for 73 starters, 73 standard, 0 nuclear
       AI_robot_arms profit per starter:   2304 for 69 starters, 69 standard, 0 nuclear
           plutonium profit per starter:   4000 for 1 starters, 0 standard, 1 nuclear
     plutonium_cable profit per starter:   4000 for 3 starters, 0 standard, 3 nuclear
             uranium profit per starter:   4000 for 1 starters, 0 standard, 1 nuclear
       uranium_cable profit per starter:   4000 for 3 starters, 0 standard, 3 nuclear
      plutonium_cell profit per starter:   4036 for 65.1666 starters, 55 standard, 10.166600000000003 nuclear
        uranium_cell profit per starter:   4036 for 65.1666 starters, 55 standard, 10.166600000000003 nuclear
   plutonium_circuit profit per starter:   4115 for 59.1666 starters, 49 standard, 10.166600000000003 nuclear
     uranium_circuit profit per starter:   4115 for 59.1666 starters, 49 standard, 10.166600000000003 nuclear
      super_computer profit per starter:   4474 for 77 starters, 77 standard, 0 nuclear
       AI_robot_body profit per starter:   7733 for 172 starters, 172 standard, 0 nuclear
   plutonium_refined profit per starter:  12000 for 1 starters, 0 standard, 1 nuclear
      plutonium_wire profit per starter:  12000 for 1 starters, 0 standard, 1 nuclear
     uranium_refined profit per starter:  12000 for 1 starters, 0 standard, 1 nuclear
        uranium_wire profit per starter:  12000 for 1 starters, 0 standard, 1 nuclear
        AI_processor profit per starter:  12261 for 115 starters, 115 standard, 0 nuclear
     nuclear_circuit profit per starter:  17353 for 285.833 starters, 245 standard, 40.83300000000003 nuclear
     ignition_system profit per starter:  17945 for 730 starters, 730 standard, 0 nuclear
        nuclear_cell profit per starter:  18189 for 290.833 starters, 250 standard, 40.83300000000003 nuclear
       AI_robot_head profit per starter:  33529 for 170 starters, 170 standard, 0 nuclear
        nuclear_core profit per starter:  68426 for 1628.3316 starters, 1404 standard, 224.33159999999998 nuclear
   nuclear_processor profit per starter:  70021 for 1729.3316 starters, 1505 standard, 224.33159999999998 nuclear
            AI_robot profit per starter:  76785 for 367 starters, 367 standard, 0 nuclear
         atomic_bomb profit per starter: 281153 for 11879.658 starters, 10718 standard, 1161.6579999999994 nuclear
     AI_robot_bomber profit per starter: 994177 for 24351.8126 starters, 21660 standard, 2691.812600000001 nuclear
